Candidate,F2,Accuracy,Sensitivity,Specificity
m1,0.5360824742268042,0.478,0.9059233449477352,0.20360219263899765
m2,0.27452415812591513,0.8225,0.2613240418118467,0.3440366972477064
m3,0.0,0.8565,0.0,0.0
m4,0.46023091725465043,0.1585,1.0,0.14568527918781726
m5,0.4577157802964254,0.8053333333333333,0.4883720930232558,0.36585365853658536
m6,0.4555084745762712,0.14333333333333334,1.0,0.14333333333333334
m7,0.5818181818181818,0.797,0.6697674418604651,0.38145695364238413
m8,0.4203792551976239,0.8231666666666667,0.42790697674418604,0.3927427961579509
m9,0.5938308090136682,0.7418333333333333,0.7479643272586274,0.3255146810664867
m10,0.6188475390156063,0.7333888888888889,0.7995347033734005,0.325031525851198
